Zomato_ID;Yelp_ID;Match
1508;8328;TRUE
3823;7862;TRUE
1837;8805;TRUE
7187;467;TRUE
3010;1132;TRUE
169;2859;TRUE
7314;546;TRUE
2120;8691;TRUE
498;2139;TRUE
2276;8179;TRUE
2691;1561;TRUE
381;2114;TRUE
1373;2645;TRUE
1266;2944;TRUE
1246;2063;TRUE
2009;8069;TRUE
6105;347;TRUE
671;2030;TRUE
2202;8703;TRUE
1557;8354;TRUE
1967;8268;TRUE
4031;1934;TRUE
2110;8033;TRUE
2163;8915;TRUE
1613;8257;TRUE
1794;7967;TRUE
1774;8500;TRUE
1600;8265;TRUE
1387;2948;TRUE
7428;468;TRUE
1968;8527;TRUE
2089;8744;TRUE
1542;8616;TRUE
2026;8723;TRUE
1902;8234;TRUE
7452;626;TRUE
1724;8094;TRUE
3546;1190;TRUE
1533;7981;TRUE
1819;8891;TRUE
1792;8614;TRUE
6921;450;TRUE
1768;8412;TRUE
536;2333;TRUE
1579;8422;TRUE
1581;8119;TRUE
1168;2419;TRUE
6032;835;TRUE
6159;556;TRUE
2923;1341;TRUE
1714;8049;TRUE
1713;8432;TRUE
3117;1125;TRUE
3256;1222;TRUE
2204;8289;TRUE
2073;8052;TRUE
6035;379;TRUE
1818;8036;TRUE
1817;8067;TRUE
3755;1921;TRUE
1464;8150;TRUE
1614;8694;TRUE
508;2013;TRUE
1620;8712;TRUE
2682;1967;TRUE
6410;326;TRUE
2292;8340;TRUE
2307;8767;TRUE
1629;8520;TRUE
1641;8105;TRUE
3295;1217;TRUE
1975;8826;TRUE
1961;8693;TRUE
2170;8855;TRUE
731;2867;TRUE
2061;8126;TRUE
1550;8832;TRUE
1786;8329;TRUE
6613;452;TRUE
1479;8423;TRUE
1764;8191;TRUE
1767;8315;TRUE
1769;8557;TRUE
2226;8259;TRUE
2105;8459;TRUE
1170;2442;TRUE
1216;2277;TRUE
2822;1752;TRUE
1664;8298;TRUE
1799;8250;TRUE
1813;8382;TRUE
6150;811;TRUE
1870;8118;TRUE
1876;8345;TRUE
1586;8262;TRUE
1546;8269;TRUE
2014;8390;TRUE
2017;8609;TRUE
3620;1442;TRUE
3807;1193;TRUE
3794;1342;TRUE
1006;2318;TRUE
6962;937;TRUE
6604;15;TRUE
218;2010;TRUE
77;2558;TRUE
876;2067;TRUE
4052;1414;TRUE
5892;832;TRUE
631;2011;TRUE
6201;900;TRUE
1253;2908;TRUE
1242;2593;TRUE
1439;2498;TRUE
2678;1078;TRUE
1505;8473;TRUE
2215;8017;TRUE
2659;1057;TRUE
1514;8093;TRUE
1018;2514;TRUE
7457;884;TRUE
1056;2110;TRUE
769;2767;TRUE
1605;8043;TRUE
3194;1718;TRUE
1753;8068;TRUE
4326;1579;TRUE
1525;8196;TRUE
3765;1887;TRUE
1846;8862;TRUE
1515;8428;TRUE
2260;8689;TRUE
1472;8348;TRUE
1316;2234;TRUE
2255;8600;TRUE
1475;8502;TRUE
2314;8861;TRUE
3290;1137;TRUE
2265;8062;TRUE
0;1;FALSE
1;2;FALSE
3;3;FALSE
4;4;FALSE
5;5;FALSE
6;6;FALSE
7;7;FALSE
8;8;FALSE
10;9;FALSE
11;10;FALSE
12;11;FALSE
13;12;FALSE
14;13;FALSE
15;14;FALSE
16;15;FALSE
17;16;FALSE
18;17;FALSE
19;18;FALSE
20;19;FALSE
21;20;FALSE
22;21;FALSE
23;22;FALSE
24;23;FALSE
25;24;FALSE
26;25;FALSE
27;26;FALSE
28;27;FALSE
29;28;FALSE
30;29;FALSE
31;30;FALSE
32;31;FALSE
33;32;FALSE
34;33;FALSE
35;34;FALSE
36;35;FALSE
37;36;FALSE
38;37;FALSE
39;38;FALSE
40;39;FALSE
41;40;FALSE
42;41;FALSE
43;42;FALSE
44;43;FALSE
45;44;FALSE
46;45;FALSE
47;46;FALSE
48;47;FALSE
49;48;FALSE
50;49;FALSE
51;50;FALSE
52;51;FALSE
53;52;FALSE
54;53;FALSE
55;54;FALSE
56;55;FALSE
57;56;FALSE
58;57;FALSE
59;58;FALSE
61;59;FALSE
62;60;FALSE
63;61;FALSE
64;62;FALSE
65;63;FALSE
66;64;FALSE
67;65;FALSE
68;66;FALSE
69;67;FALSE
70;68;FALSE
71;69;FALSE
72;70;FALSE
73;71;FALSE
74;72;FALSE
75;73;FALSE
76;74;FALSE
77;75;FALSE
78;76;FALSE
79;77;FALSE
80;78;FALSE
81;79;FALSE
82;80;FALSE
83;81;FALSE
84;82;FALSE
85;83;FALSE
86;84;FALSE
87;85;FALSE
88;86;FALSE
89;87;FALSE
90;88;FALSE
91;89;FALSE
92;90;FALSE
93;91;FALSE
94;92;FALSE
95;93;FALSE
96;94;FALSE
97;95;FALSE
98;96;FALSE
99;97;FALSE
100;98;FALSE
101;99;FALSE
102;100;FALSE
103;101;FALSE
104;102;FALSE
105;103;FALSE
106;104;FALSE
107;105;FALSE
108;106;FALSE
109;107;FALSE
110;108;FALSE
111;109;FALSE
112;110;FALSE
113;111;FALSE
114;112;FALSE
115;113;FALSE
116;114;FALSE
117;115;FALSE
118;116;FALSE
119;117;FALSE
120;118;FALSE
121;119;FALSE
122;120;FALSE
123;121;FALSE
124;122;FALSE
125;123;FALSE
126;124;FALSE
127;125;FALSE
128;126;FALSE
129;127;FALSE
130;128;FALSE
131;129;FALSE
132;130;FALSE
133;131;FALSE
134;132;FALSE
135;133;FALSE
136;134;FALSE
137;135;FALSE
138;136;FALSE
139;137;FALSE
140;138;FALSE
141;139;FALSE
143;140;FALSE
144;141;FALSE
145;142;FALSE
146;143;FALSE
147;144;FALSE
148;145;FALSE
149;146;FALSE
150;147;FALSE
151;148;FALSE
152;149;FALSE
153;150;FALSE
154;151;FALSE
155;152;FALSE
156;153;FALSE
157;154;FALSE
158;155;FALSE
159;156;FALSE
160;157;FALSE
161;158;FALSE
162;159;FALSE
163;160;FALSE
164;161;FALSE
165;162;FALSE
166;163;FALSE
167;164;FALSE
168;165;FALSE
169;166;FALSE
170;167;FALSE
171;168;FALSE
172;169;FALSE
173;170;FALSE
174;171;FALSE
175;172;FALSE
176;173;FALSE
177;174;FALSE
178;175;FALSE
179;176;FALSE
180;177;FALSE
181;178;FALSE
182;179;FALSE
183;180;FALSE
184;181;FALSE
185;182;FALSE
186;183;FALSE
187;184;FALSE
188;185;FALSE
189;186;FALSE
190;187;FALSE
191;188;FALSE
192;189;FALSE
193;190;FALSE
194;191;FALSE
195;192;FALSE
196;193;FALSE
197;194;FALSE
198;195;FALSE
199;196;FALSE
200;197;FALSE
201;198;FALSE
202;199;FALSE
203;200;FALSE
204;201;FALSE
205;202;FALSE
206;203;FALSE
207;204;FALSE
208;205;FALSE
209;206;FALSE
210;207;FALSE
211;208;FALSE
212;209;FALSE
213;210;FALSE
214;211;FALSE
215;212;FALSE
216;213;FALSE
217;214;FALSE
218;215;FALSE
219;216;FALSE
220;217;FALSE
221;218;FALSE
222;219;FALSE
223;220;FALSE
224;221;FALSE
225;222;FALSE
226;223;FALSE
227;224;FALSE
228;225;FALSE
229;226;FALSE
230;227;FALSE
231;228;FALSE
232;229;FALSE
233;230;FALSE
234;231;FALSE
235;232;FALSE
236;233;FALSE
237;234;FALSE
238;235;FALSE
239;236;FALSE
240;237;FALSE
241;238;FALSE
243;239;FALSE
244;240;FALSE
245;241;FALSE
246;242;FALSE
247;243;FALSE
248;244;FALSE
249;245;FALSE
250;246;FALSE
251;247;FALSE
252;248;FALSE
253;249;FALSE
254;250;FALSE
